Date,Open,Close,High,Low,Volume €
03/02/20,13033.17,13045.19,13077.57,12987.53,3635225600
31/01/20,13196.8,12981.97,13208.47,12973.7,4596007424
30/01/20,13186.49,13157.12,13262.18,13118.97,3915857920
29/01/20,13316.42,13345,13371.3,13296.03,2900783360
28/01/20,13274.01,13323.69,13327.12,13163.36,4157311488
27/01/20,13374.99,13204.77,13399.42,13195.28,4774482944
24/01/20,13512.84,13576.68,13604.85,13510.79,4093668864
23/01/20,13455.9,13388.42,13486.14,13382.23,3755383808
22/01/20,13601.65,13515.75,13640.06,13498.03,3518689280
21/01/20,13456.9,13555.87,13560.68,13443.25,2828705024
20/01/20,13503.83,13548.94,13550.83,13487.21,2213997056
17/01/20,13513.48,13526.13,13557.78,13497.3,4263625728
16/01/20,13463.46,13429.43,13492.74,13382.98,3263788544
15/01/20,13444.95,13432.3,13458.91,13388.48,3387621376
14/01/20,13439.2,13456.49,13487.9,13362.2,3375945216
13/01/20,13521.86,13451.52,13529.21,13404.72,2916933632
10/01/20,13533.46,13483.31,13548.2,13483.31,3310929920
09/01/20,13474.76,13495.06,13523.34,13456.78,3865976576
08/01/20,13140.49,13320.18,13334.04,13106.27,3500844800
07/01/20,13199.59,13226.83,13283.88,13166.4,3229665792
06/01/20,13085.49,13126.99,13143.11,12948.17,3090320384
03/01/20,13266.39,13219.14,13282.74,13120.72,3348948736
02/01/20,13233.71,13385.93,13425.03,13225.16,3041948416
30/12/19,13301.43,13249.01,13316.62,13244.17,1363888256
27/12/19,13338.32,13337.11,13381.44,13311.52,2011863040
23/12/19,13304.77,13300.98,13331.86,13285.55,2483130112
20/12/19,13210.26,13318.9,13324.11,13201.8,8315065856
19/12/19,13226.7,13211.96,13248.98,13140.22,4003737856
18/12/19,13266.35,13222.16,13286,13215.88,3371483648
17/12/19,13391.27,13287.83,13394.47,13269.43,3975771136
16/12/19,13349.86,13407.66,13425.85,13338.38,3022608896
13/12/19,13383.26,13282.72,13423.41,13255.55,5029902336
12/12/19,13167.56,13221.64,13287.81,13105.07,3573495040
11/12/19,13075.43,13146.74,13169.77,13042.7,3301320192
10/12/19,13065.83,13070.72,13091.71,12886.55,3746461952
09/12/19,13147.57,13105.61,13170.77,13100.24,2274370816
06/12/19,13087.51,13166.58,13171.21,13055.98,2916811264
05/12/19,13144.38,13054.8,13188.64,13054.8,2620789248
04/12/19,12998.66,13140.57,13157.36,12995.32,3020354048
03/12/19,13039.61,12989.29,13086.03,12927.07,3662386432
02/12/19,13264.93,12964.68,13338.25,12954.5,4646583808
29/11/19,13179.25,13236.38,13290.33,13165.07,2981747968
28/11/19,13247.61,13245.58,13259.29,13215.71,1704999296
27/11/19,13291.09,13287.07,13314.92,13219.43,2765258752
26/11/19,13256.4,13236.42,13261.98,13193.75,4037251840
25/11/19,13247.51,13246.45,13268.97,13210.25,2587077888
22/11/19,13145.77,13163.88,13244.57,13120.63,3430652160
21/11/19,13083,13137.7,13171.85,13043.9,3607742464
20/11/19,13127.45,13158.14,13182.22,13071.33,3238085888
19/11/19,13235.28,13221.12,13374.27,13187.91,3264300288
18/11/19,13255.78,13207.01,13282.41,13137.88,3202738688
15/11/19,13261.72,13241.75,13261.72,13172.89,3852822528
14/11/19,13198.33,13180.23,13219.3,13159.69,3623782912
13/11/19,13244.05,13230.07,13273.82,13139.25,3228517888
12/11/19,13243.53,13283.51,13308.26,13214.66,3413908480
11/11/19,13170.18,13198.37,13225.62,13144.09,3153869312
08/11/19,13248.62,13228.56,13278.18,13195.83,4286930176
07/11/19,13258.26,13289.46,13300.76,13227.37,4770040320
06/11/19,13150.94,13179.89,13187.66,13110.91,3781267200
05/11/19,13134.33,13148.5,13166.08,13112.65,4066735104
04/11/19,13022.95,13136.28,13171.17,13019.18,4159345664
01/11/19,12912.09,12961.05,12992.07,12896.72,2790381312
31/10/19,12937.59,12866.79,12953.34,12795.09,4225495808
30/10/19,12929.42,12910.23,12944.26,12830.33,3747481600
29/10/19,12946.34,12939.62,12951.88,12897.34,3305081600
28/10/19,12897.4,12941.71,12986.49,12892.84,3130192384
25/10/19,12886.42,12894.51,12895.85,12834,2884845056
24/10/19,12860.63,12872.1,12914.24,12820.67,3770670336
23/10/19,12702.92,12798.19,12819.22,12699.85,3385803008
22/10/19,12757.73,12754.69,12791.31,12730.7,3589983488
21/10/19,12661.93,12747.96,12787.35,12646.28,3523020544
18/10/19,12637.01,12633.6,12700.38,12603.17,4486810112
17/10/19,12655.32,12654.95,12814.49,12647.86,4439079424
16/10/19,12644.18,12670.11,12698.37,12603.83,4391909376
15/10/19,12565.68,12629.79,12682.4,12511.9,4959471616
14/10/19,12468.78,12486.56,12495.24,12387.95,2502158848
11/10/19,12248.88,12511.65,12511.65,12240.94,4641510400
10/10/19,12082.89,12164.2,12202.71,12029.46,3665628928
09/10/19,11973.82,12094.26,12165.53,11953.12,2876705792
08/10/19,12097.89,11970.2,12097.94,11933.02,3254806528
07/10/19,12008.77,12097.43,12105.09,11969.32,2735589888
04/10/19,11958.31,12012.81,12012.91,11878.98,3776119296
02/10/19,12221.74,11925.25,12226.86,11925.25,4228949760
01/10/19,12469.67,12263.83,12497.28,12263.83,3372863488
30/09/19,12367.81,12428.08,12441.03,12346.94,2914095360
27/09/19,12327.79,12380.94,12404.47,12324.71,2691832576
26/09/19,12227.77,12288.54,12313.15,12223.29,3077719296
25/09/19,12250.08,12234.18,12261.06,12141.82,2906918912
24/09/19,12368.96,12307.15,12375.31,12307.15,2506265344
23/09/19,12432.3,12342.33,12441.02,12264.14,3253868544
20/09/19,12462.57,12468.01,12490.84,12418.5,9320713216
19/09/19,12355.92,12457.7,12466.78,12354.83,3482739456
18/09/19,12361.23,12389.62,12416.05,12354.49,2875539968
17/09/19,12370.96,12372.61,12392.97,12303.51,3028619008
16/09/19,12387.68,12380.31,12421.25,12362.98,2928450304
13/09/19,12412.72,12468.53,12494.25,12408.93,3394239488
12/09/19,12399.4,12410.25,12471.83,12311.81,4022330624
11/09/19,12341.84,12359.07,12394.28,12317.61,3329364224
10/09/19,12210.88,12268.71,12292.14,12179.88,4135957248
09/09/19,12210.87,12226.1,12245.11,12189.6,2750214656
06/09/19,12146,12191.73,12205.1,12131.29,3031332864
05/09/19,12117.9,12126.78,12151.31,12084.17,3397977856
04/09/19,12043.96,12025.04,12078.4,11999.83,2592677632
03/09/19,11921.94,11910.86,11956.69,11869.28,2486664960
02/09/19,11939.99,11953.78,11994.11,11929.91,1788723072
30/08/19,11850.3,11939.28,11989.44,11845.16,3304370944
29/08/19,11686.84,11838.88,11853.91,11661.73,2742626048
28/08/19,11704.67,11701.02,11717.79,11573.64,2308916736
27/08/19,11638.51,11730.02,11778.62,11616.09,2956072192
26/08/19,11619.66,11658.04,11696.78,11551.99,2086339456
23/08/19,11805.48,11611.51,11823.12,11611.51,3488396032
22/08/19,11756.21,11747.04,11853.14,11715.26,2729008896
21/08/19,11673.66,11802.85,11824.66,11673.37,2467508736
20/08/19,11711.78,11651.18,11764.93,11618.93,2510155776
19/08/19,11679.72,11715.37,11759,11625.67,2751849728
16/08/19,11460.65,11562.74,11578.84,11447.34,3491160064
15/08/19,11522.46,11412.67,11530.01,11266.48,3986707456
14/08/19,11758.75,11492.66,11759.57,11459.37,3813835776
13/08/19,11632.85,11750.13,11835.88,11539.63,4268294400
12/08/19,11801.06,11679.68,11836.97,11647.01,2494561024
09/08/19,11806.82,11693.8,11865.63,11674.11,4326682112
08/08/19,11752.96,11845.41,11845.41,11683.99,3948816384
07/08/19,11636.34,11650.15,11747.74,11559.76,4096602624
06/08/19,11690.27,11567.96,11748.83,11567.96,3672949504
05/08/19,11758.44,11658.51,11797.52,11628.57,4837273600
02/08/19,12033.68,11872.44,12034.91,11836.75,5948219904
01/08/19,12134.71,12253.15,12254.03,12129.33,3831578368
31/07/19,12149.09,12189.04,12226.49,12139.03,3365278464
30/07/19,12398.24,12147.24,12404.51,12115.28,4455521280
29/07/19,12398.29,12417.47,12473.97,12387.58,2585841408
26/07/19,12363.86,12419.9,12428.05,12356.15,2993911040
25/07/19,12576.02,12362.1,12599.93,12299.1,4669920768
24/07/19,12510.52,12522.89,12550.34,12476.55,3535140864
23/07/19,12384.66,12490.74,12531.16,12369.19,4303268864
22/07/19,12243.58,12289.4,12346.02,12236.7,2570415360
19/07/19,12302.64,12260.07,12340.11,12211.67,3528226560
18/07/19,12194.33,12227.85,12296.3,12172.59,3382116352
17/07/19,12429.87,12341.03,12453.33,12324.33,2940606976
16/07/19,12392.19,12430.97,12465.19,12366.97,2925691904
15/07/19,12346.59,12387.34,12434.14,12301.08,2635208704
12/07/19,12318.5,12323.32,12354.87,12304.98,3167025664
11/07/19,12401.02,12332.12,12417.93,12307.34,3080733952
10/07/19,12412.99,12373.41,12448.81,12356.8,2964102144
09/07/19,12436.97,12436.55,12477.58,12364.16,4069380608
08/07/19,12541.18,12543.51,12587.44,12507.72,2668566784
05/07/19,12632.12,12568.53,12632.12,12522.11,2890199040
04/07/19,12644.35,12629.9,12656.05,12616.29,2027166848
03/07/19,12548.3,12616.24,12631.81,12545.79,2944255744
02/07/19,12546.93,12526.72,12548.22,12484.26,3011927552
01/07/19,12616.34,12521.38,12619.68,12519.3,3731064320
28/06/19,12302.77,12398.8,12408.22,12297.63,4038219008
27/06/19,12308.26,12271.03,12334.57,12209.34,3553273856
26/06/19,12210.52,12245.32,12315.84,12189.49,3253318144
25/06/19,12226.88,12228.44,12284.57,12213.41,2794597120
24/06/19,12308.11,12274.57,12341.56,12250.71,3257103872
21/06/19,12351.98,12339.92,12425.2,12316.41,8948218880
20/06/19,12409.58,12355.39,12438.37,12355.39,3424495360
